Hilos,Promedio Tiempo Real (s),Error Real (s),Promedio Tiempo Usuario (s),Error Usuario (s),Promedio Tiempo Sistema (s),Error Sistema (s)
1,2.51680,.41865,2.22440,.35199,.29006,.07078
2,2.06026,.61943,2.45420,.42036,.34746,.09110
3,1.67586,.93938,2.37133,.38143,.36220,.10104
4,1.53046,1.07151,2.44620,.41605,.37993,.11436
5,1.55760,1.04658,2.70846,.59850,.44586,.17111
6,1.58280,1.02353,2.93933,.79688,.51440,.23522
7,1.45980,1.13689,2.91420,.77441,.54120,.26090
8,1.40086,1.19188,3.02333,.87303,.56213,.28112
