Hilos,Promedio Tiempo Inicialización (s),Error Inicialización (s),Promedio Tiempo Asignación (s),Error Asignación (s),Promedio Tiempo Suma (s),Error Suma (s)
1,.67185,.03016,.42281,.01673,1.03796,.01095
2,.43163,.24211,.26574,.15795,1.15129,.11384
3,.31377,.35936,.18722,.23617,1.05444,.01974
4,.26726,.40572,.16014,.26321,1.04072,.01140
5,.25133,.42160,.14846,.27486,1.04585,.01341
6,.22244,.45043,.14120,.28211,1.03786,.01095
7,.19729,.47552,.12863,.29465,1.04077,.01140
8,.17954,.49324,.11999,.30328,1.04136,.01140
